age,pop,male,female,sex_ratio
Total,7228296734,3638522032,3589774702,101.4
0-4,632588603,326339256,306249347,106.6
5-9,611706068,316273665,295432403,107.1
10-14,597575636,309344873,288230763,107.3
15-19,591701851,305700016,286001835,106.9
20-24,592333887,304317472,288016415,105.7
25-29,593945015,303294657,290650358,104.4
30-34,542357812,275863147,266494665,103.5
35-39,497139130,252474140,244664990,103.2
40-44,484109015,244979143,239129872,102.4
45-49,452850949,227656648,225194301,101.1
50-54,397139855,196990701,200149154,98.4
55-59,334320668,163990049,170330619,96.3
60-64,286176756,138267276,147909480,93.5
65-69,217103527,103343784,113759743,90.8
70-74,155303840,71657049,83646791,85.7
75-79,116030666,50641555,65389111,77.4
80-84,72112595,29345231,42767364,68.6
85-89,36911189,13245673,23665516,56
90-94,13397746,3977231,9420515,42.2
95-99,2958668,717910,2240758,32
100+,533258,102556,430702,23.8
